Aston Villa,0-3,Man Utd,Sunday 15th December 2013 
Norwich,1-1,Swansea,Sunday 15th December 2013 
Tottenham,0-5,Liverpool,Sunday 15th December 2013 
Man City,6-3,Arsenal,Saturday 14th December 2013 
Cardiff,1-0,West Brom,Saturday 14th December 2013 
Chelsea,2-1,Crystal Palace,Saturday 14th December 2013 
Everton,4-1,Fulham,Saturday 14th December 2013 
Newcastle,1-1,Southampton,Saturday 14th December 2013 
West Ham,0-0,Sunderland,Saturday 14th December 2013 
Hull,0-0,Stoke,Saturday 14th December 2013 
Swansea,1-1,Hull,Monday 9th December 2013 
Fulham,2-0,Aston Villa,Sunday 8th December 2013 
Arsenal,1-1,Everton,Sunday 8th December 2013 
Man Utd,0-1,Newcastle,Saturday 7th December 2013 
Crystal Palace,2-0,Cardiff,Saturday 7th December 2013 
Liverpool,4-1,West Ham,Saturday 7th December 2013 
Southampton,1-1,Man City,Saturday 7th December 2013 
Stoke,3-2,Chelsea,Saturday 7th December 2013 
West Brom,0-2,Norwich,Saturday 7th December 2013 
Sunderland,1-2,Tottenham,Saturday 7th December 2013 
Arsenal,2-0,Hull,Wednesday 4th December 2013 
Liverpool,5-1,Norwich,Wednesday 4th December 2013 
Man Utd,0-1,Everton,Wednesday 4th December 2013 
Southampton,2-3,Aston Villa,Wednesday 4th December 2013 
Stoke,0-0,Cardiff,Wednesday 4th December 2013 
Sunderland,3-4,Chelsea,Wednesday 4th December 2013 
Swansea,3-0,Newcastle,Wednesday 4th December 2013 
Fulham,1-2,Tottenham,Wednesday 4th December 2013 
West Brom,2-3,Man City,Wednesday 4th December 2013 
Crystal Palace,1-0,West Ham,Tuesday 3rd December 2013 
Tottenham,2-2,Man Utd,Sunday 1st December 2013 
Hull,3-1,Liverpool,Sunday 1st December 2013 
Chelsea,3-1,Southampton,Sunday 1st December 2013 
Man City,3-0,Swansea,Sunday 1st December 2013 
Aston Villa,0-0,Sunderland,Saturday 30th November 2013 
Cardiff,0-3,Arsenal,Saturday 30th November 2013 
Everton,4-0,Stoke,Saturday 30th November 2013 
Norwich,1-0,Crystal Palace,Saturday 30th November 2013 
West Ham,3-0,Fulham,Saturday 30th November 2013 
Newcastle,2-1,West Brom,Saturday 30th November 2013 
West Brom,2-2,Aston Villa,Monday 25th November 2013 
Man City,6-0,Tottenham,Sunday 24th November 2013 
Cardiff,2-2,Man Utd,Sunday 24th November 2013 
